,ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
533,PLD,2017,0.4856,0.5295,0.5899,0.5165,0.4843,,
534,PLD,2018,0.3915,0.4774,0.4856,0.5899,0.5165,0.4843,
535,PLD,2019,0.4809,0.4616,0.3915,0.4856,0.5899,0.5165,0.4843
536,PLD,2020,0.5766,0.5706,0.4809,0.3915,0.4856,0.5899,0.5165
537,PLD,2021,0.3942,0.4382,0.5766,0.4809,0.3915,0.4856,0.5899
538,PLD,2022,0.2893,0.4393,0.3942,0.5766,0.4809,0.3915,0.4856
539,PLD,2023,0.4391,0.4508,0.2893,0.3942,0.5766,0.4809,0.3915
540,PM,2014,0.5631,0.5245,,,,,
541,PM,2015,0.5865,0.4275,0.5631,,,,
542,PM,2016,0.6152,0.5356,0.5865,0.5631,,,
543,PM,2017,0.5596,0.4426,0.6152,0.5865,0.5631,,
544,PM,2018,0.3694,0.4181,0.5596,0.6152,0.5865,0.5631,
545,PM,2019,0.5727,0.3618,0.3694,0.5596,0.6152,0.5865,0.5631
546,PM,2020,0.5938,0.5035,0.5727,0.3694,0.5596,0.6152,0.5865
547,PM,2021,0.3191,0.4363,0.5938,0.5727,0.3694,0.5596,0.6152
548,PM,2022,0.4055,0.6058,0.3191,0.5938,0.5727,0.3694,0.5596
549,PM,2023,0.6008,0.6788,0.4055,0.3191,0.5938,0.5727,0.3694
550,QCOM,2014,0.4743,0.5977,,,,,
551,QCOM,2015,0.4344,0.2621,0.4743,,,,
552,QCOM,2016,0.3862,0.4576,0.4344,0.4743,,,
553,QCOM,2017,0.4038,0.4245,0.3862,0.4344,0.4743,,
554,QCOM,2018,0.2978,0.2128,0.4038,0.3862,0.4344,0.4743,
555,QCOM,2019,0.534,0.301,0.2978,0.4038,0.3862,0.4344,0.4743
556,QCOM,2020,0.433,0.4756,0.534,0.2978,0.4038,0.3862,0.4344
557,QCOM,2021,0.4334,0.4139,0.433,0.534,0.2978,0.4038,0.3862
558,QCOM,2022,0.4538,0.5199,0.4334,0.433,0.534,0.2978,0.4038
559,QCOM,2023,0.6702,0.576,0.4538,0.4334,0.433,0.534,0.2978
560,SBUX,2014,0.4758,0.4946,,,,,
561,SBUX,2015,0.574,0.4586,0.4758,,,,
562,SBUX,2016,0.4982,0.5139,0.574,0.4758,,,
563,SBUX,2017,0.4865,0.5597,0.4982,0.574,0.4758,,
564,SBUX,2018,0.4169,0.507,0.4865,0.4982,0.574,0.4758,
565,SBUX,2019,0.4553,0.4367,0.4169,0.4865,0.4982,0.574,0.4758
566,SBUX,2020,0.4879,0.4657,0.4553,0.4169,0.4865,0.4982,0.574
567,SBUX,2021,0.3445,0.4043,0.4879,0.4553,0.4169,0.4865,0.4982
568,SBUX,2022,0.3934,0.6053,0.3445,0.4879,0.4553,0.4169,0.4865
569,SBUX,2023,0.4399,0.6018,0.3934,0.3445,0.4879,0.4553,0.4169
570,SCHW,2014,0.5463,0.4842,,,,,
571,SCHW,2015,0.6079,0.5107,0.5463,,,,
572,SCHW,2016,0.6086,0.4788,0.6079,0.5463,,,
573,SCHW,2017,0.5493,0.485,0.6086,0.6079,0.5463,,
574,SCHW,2018,0.4623,0.4691,0.5493,0.6086,0.6079,0.5463,
575,SCHW,2019,0.4644,0.3689,0.4623,0.5493,0.6086,0.6079,0.5463
576,SCHW,2020,0.4607,0.4999,0.4644,0.4623,0.5493,0.6086,0.6079
577,SCHW,2021,0.4054,0.4911,0.4607,0.4644,0.4623,0.5493,0.6086
578,SCHW,2022,0.4106,0.5177,0.4054,0.4607,0.4644,0.4623,0.5493
579,SCHW,2023,0.5062,0.5028,0.4106,0.4054,0.4607,0.4644,0.4623
580,SPGI,2014,0.6422,0.616,,,,,
